City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Namibe,0,AO,1554088351.0,100,-15.19,-15.19,77.87,6.2
Ilulissat,0,GL,1554083400.0,61,69.22,69.22,15.8,18.34
Rikitea,36,PF,1554088172.0,100,-23.12,-23.12,76.79,16.82
Saldanha,20,PT,1554088351.0,94,41.42,41.42,39.8,2.62
Albany,75,US,1554088140.0,64,42.65,42.65,37.0,12.75
Nikolskoye,0,RU,1554088300.0,84,59.7,59.7,32.0,11.18
Cabo San Lucas,5,MX,1554087920.0,41,22.89,22.89,77.0,6.93
Richards Bay,0,ZA,1554088352.0,93,-28.77,-28.77,70.13,11.01
Severo-Kurilsk,76,RU,1554088352.0,100,50.68,50.68,29.63,2.06
Punta Arenas,75,CL,1554087746.0,87,-53.16,-53.16,50.0,8.05
Plouzane,8,FR,1554088325.0,87,48.38,48.38,48.99,5.82
Ibotirama,0,BR,1554088353.0,93,-12.18,-12.18,71.21,3.85
Mama,40,MX,1554087694.0,69,20.48,20.48,79.0,6.93
Mataura,80,NZ,1554087609.0,75,-46.19,-46.19,53.01,8.01
Port-Gentil,8,GA,1554088353.0,98,-0.72,-0.72,81.92,5.97
Hithadhoo,0,MV,1554088354.0,100,-0.6,-0.6,83.18,5.53
Ketchikan,1,US,1554083760.0,70,55.34,55.34,55.4,18.34
Chokurdakh,0,RU,1554088354.0,96,70.62,70.62,21.35,4.97
Rocha,64,UY,1554088354.0,96,-34.48,-34.48,59.51,3.96
Yellowknife,90,CA,1554088084.0,86,62.45,62.45,33.8,18.34
Hermanus,44,ZA,1554087686.0,67,-34.42,-34.42,57.0,3.0
Vardo,90,US,1554088354.0,39,39.62,39.62,34.0,6.93
Nishihara,40,JP,1554088345.0,74,35.74,35.74,57.99,6.93
Namatanai,56,PG,1554088355.0,97,-3.66,-3.66,83.45,12.24
Duiwelskloof,44,ZA,1554088356.0,90,-23.69,-23.69,60.05,2.95
Noumea,75,NC,1554085800.0,62,-22.28,-22.28,86.0,12.75
Ushuaia,90,AR,1554084000.0,76,-54.81,-54.81,48.2,10.29
Airai,8,TL,1554088356.0,55,-8.93,-8.93,83.81,1.72
Bambous Virieux,75,MU,1554088142.0,94,-20.34,-20.34,75.99,5.82
Saint George,0,GR,1554087811.0,86,39.45,39.45,48.99,2.62
Hobart,40,AU,1554088216.0,41,-42.88,-42.88,62.01,8.05
Avarua,0,CK,1554085800.0,88,-21.21,-21.21,82.4,9.17
Atuona,20,PF,1554088168.0,100,-9.8,-9.8,82.28,12.01
Busselton,48,AU,1554088029.0,31,-33.64,-33.64,84.99,12.35
Westport,76,IE,1554088325.0,90,53.8,53.8,42.01,1.01
Norman Wells,90,CA,1554087420.0,94,65.28,65.28,32.0,11.41
Conde,88,BR,1554088357.0,100,-11.81,-11.81,77.42,5.08
Lazaro Cardenas,5,MX,1554088214.0,33,28.39,28.39,63.0,5.82
Jamestown,0,AU,1554088173.0,60,-33.21,-33.21,67.43,2.51
Puerto Ayora,0,EC,1554087671.0,93,-0.74,-0.74,79.0,6.98
Benjamin Hill,8,MX,1554088277.0,17,30.17,30.17,71.01,4.0
Yerbogachen,48,RU,1554088358.0,70,61.28,61.28,33.59,6.64
Cherskiy,0,RU,1554088359.0,68,68.75,68.75,16.13,3.96
Ahipara,92,NZ,1554088359.0,100,-35.17,-35.17,68.24,7.76
Yulara,0,AU,1554084000.0,22,-25.24,-25.24,75.2,13.87
Qaanaaq,68,GL,1554088173.0,79,77.48,77.48,-1.79,6.42
New Norfolk,40,AU,1554088156.0,41,-42.78,-42.78,62.01,8.05
Tefe,20,BR,1554088198.0,80,-3.35,-3.35,79.4,4.97
Bayeux,8,FR,1554087602.0,93,49.28,49.28,45.0,4.7
Lavrentiya,64,RU,1554088360.0,100,65.58,65.58,29.18,5.3
Chuy,44,UY,1554088167.0,90,-33.69,-33.69,64.01,4.97
Ancud,90,CL,1554084000.0,100,-41.87,-41.87,51.8,4.7
Buluang,20,PH,1554084000.0,54,10.47,10.47,84.2,12.75
Meadow Lake,24,CA,1554088421.0,62,54.13,54.13,29.09,6.2
Lebu,12,ET,1554088421.0,92,8.96,8.96,48.26,3.62
Bignona,0,SN,1554088421.0,47,12.8,12.8,77.69,4.41
Cairns,75,AU,1554088401.0,62,-16.92,-16.92,87.8,12.75
Hambantota,20,LK,1554084600.0,94,6.12,6.12,80.6,5.82
Bredasdorp,8,ZA,1554084000.0,76,-34.53,-34.53,55.4,8.05
Burla,0,RU,1554088422.0,78,53.34,53.34,33.95,6.42
Salalah,75,OM,1554083400.0,78,17.01,17.01,75.2,3.36
Nuevo Progreso,90,US,1554088227.0,87,26.05,26.05,48.99,8.05
Kutum,0,SD,1554088422.0,26,14.2,14.2,59.24,10.67
Kysyl-Syr,48,RU,1554088422.0,67,63.9,63.9,32.33,4.52
Cape Town,40,ZA,1554088091.0,67,-33.93,-33.93,59.0,12.75
Niihama,75,JP,1554087824.0,31,33.96,33.96,54.0,18.34
Kenai,1,US,1554088324.0,43,60.55,60.55,51.8,5.82
Clyde River,90,CA,1554084000.0,91,70.47,70.47,1.4,5.82
Kodiak,1,US,1554088150.0,40,39.95,39.95,37.99,5.82
Bethel,1,US,1554083760.0,53,60.79,60.79,51.8,11.41
Shingu,20,JP,1554084000.0,50,33.72,33.72,51.8,17.22
Dikson,76,RU,1554088424.0,97,73.51,73.51,30.17,19.39
Florence,20,US,1554088384.0,48,34.8,34.8,46.0,11.41
Pasni,0,PK,1554088425.0,78,25.26,25.26,77.24,7.65
Castro,90,CL,1554084000.0,100,-42.48,-42.48,51.8,4.7
Port Elizabeth,1,US,1554088397.0,41,39.31,39.31,44.01,14.99
Muscat,0,OM,1554083400.0,69,23.6,23.6,73.4,3.36
Klaksvik,80,FO,1554085200.0,81,62.23,62.23,42.8,11.41
East London,90,ZA,1554085980.0,82,-33.02,-33.02,62.6,24.16
Opole,0,PL,1554088231.0,67,50.67,50.67,35.12,6.76
